source,year_filter,district_filter,outcome,feature,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
OpenElections contributions,2024,all,first_place_votes,cash_bin_amount_share_medium,cash_in_kind_bins,dollar share,65,0.11303274041334387,0.3699886429363146,0.254120224649771,0.04108263904587329,0.11303274041334387,0.254120224649771,0.5395805251127554,0.07878862282770219
OpenElections contributions,2024,all,first_place_votes,cash_bin_amount_share_micro,cash_in_kind_bins,dollar share,65,-0.11303052725036315,0.3699980743630323,-0.08684535452173282,0.4915249389132149,0.11303052725036315,0.08684535452173282,0.5395805251127554,0.568706540891323
OpenElections contributions,2024,all,first_place_votes,in_kind_bin_count_micro,cash_in_kind_bins,record count,65,0.11023380415702781,0.38203260410341494,0.15655629504968868,0.21298377284740894,0.11023380415702781,0.15655629504968868,0.5509165597685132,0.2812993226286533
OpenElections contributions,2024,all,first_place_votes,bin_amount_share_medium,overall_bins,dollar share,65,0.10940544073263418,0.3856415918379592,0.28319126359559893,0.022261716653941322,0.10940544073263418,0.28319126359559893,0.5509165597685132,0.04328667127155258
OpenElections contributions,2024,all,first_place_votes,cash_bin_count_share_large,cash_in_kind_bins,record share,65,-0.09763197031617636,0.43910099373795636,0.1650503802795271,0.18888288875986464,0.09763197031617636,0.1650503802795271,0.6132656696880393,0.25673402355709757
OpenElections contributions,2024,all,first_place_votes,cash_count_share,cash_in_kind,record share,65,0.09508508572021031,0.45118831412762894,-0.08279582533278267,0.5120194707027172,0.09508508572021031,0.08279582533278267,0.6132656696880393,0.5875633270359051
OpenElections contributions,2024,all,first_place_votes,individual_bin_amount_share_medium,individual_business_bins,dollar share,65,0.09406538740536785,0.45607874108303725,0.20472131636588298,0.10186730158989171,0.09406538740536785,0.20472131636588298,0.6139521514579347,0.16024069913016675
OpenElections contributions,2024,all,first_place_votes,in_kind_count_share,cash_in_kind,record share,65,-0.08930736492432598,0.47927827891129904,0.4386446070383289,0.0002572461722319423,0.08930736492432598,0.4386446070383289,0.6352539081563466,0.0007202892822494384
OpenElections contributions,2024,all,first_place_votes,cash_bin_count_share_micro,cash_in_kind_bins,record share,65,-0.0889636948100849,0.48097795903266244,-0.18168904818663478,0.14748055036070354,0.0889636948100849,0.18168904818663478,0.6352539081563466,0.20855835404543935
OpenElections contributions,2024,all,first_place_votes,business_bin_amount_large,individual_business_bins,dollar amount,65,-0.08677566485740823,0.49187396250106574,0.06516000006068115,0.6060694962982479,0.08677566485740823,0.06516000006068115,0.6435734088798991,0.6628885115762086
