candidate_key,canonical_candidate,district,is_viable,fundraising,mentions,predicted,residual,money_measure,outcome_measure,district_r_squared,first_place_votes,total_spending
2024|2|marnie glickman,Marnie Glickman,2,True,,20718.0,22760.15679189848,-2042.1567918984802,Spending,mentions,0.5015628846190673,,133462.97
2024|2|nat west,Nat West,2,True,,30666.0,22616.96090809586,8049.039091904138,Spending,mentions,0.5015628846190673,,131140.06
2024|2|elana pirtle guiney,Elana Pirtle-Guiney,2,True,,34268.0,19124.415553116007,15143.584446883993,Spending,mentions,0.5015628846190673,,85457.75
2024|2|james armstrong,James Armstrong,2,False,,13504.0,16738.815702468914,-3234.8157024689135,Spending,mentions,0.5015628846190673,,63784.29
2024|2|michael mike marshall,Michael (Mike) Marshall,2,False,,15684.0,20481.632024179416,-4797.6320241794165,Spending,mentions,0.5015628846190673,,100931.24
2024|2|jennifer park,Jennifer Park,2,False,,11124.0,14056.241596656342,-2932.241596656342,Spending,mentions,0.5015628846190673,,45905.09
2024|2|will mespelt,Will Mespelt,2,False,,3884.0,5723.08037793015,-1839.0803779301496,Spending,mentions,0.5015628846190673,,16523.17
2024|2|mariah hudson,Mariah Hudson,2,True,,20051.0,23971.025092367257,-3920.0250923672575,Spending,mentions,0.5015628846190673,,154825.11000000002
2024|2|sameer kanal,Sameer Kanal,2,True,,31168.0,20644.446184991408,10523.553815008592,Spending,mentions,0.5015628846190673,,102966.45
2024|2|nabil zaghloul,Nabil Zaghloul,2,False,,6482.0,21162.534445319965,-14680.534445319965,Spending,mentions,0.5015628846190673,,109719.75
2024|2|bob simril,Bob Simril,2,False,,11062.0,18675.6085825474,-7613.6085825474,Spending,mentions,0.5015628846190673,,80881.96
2024|2|jonathan tasini,Jonathan Tasini,2,True,,22140.0,20932.146718476695,1207.8532815233048,Spending,mentions,0.5015628846190673,,106663.61
2024|2|tiffani penson,Tiffani Penson,2,True,,30148.0,23374.83381681604,6773.166183183959,Spending,mentions,0.5015628846190673,,143910.77
2024|2|michelle depass,Michelle DePass,2,True,,32612.0,21996.74932356624,10615.25067643376,Spending,mentions,0.5015628846190673,,121536.89
2024|2|reuben berlin,Reuben Berlin,2,False,,3784.0,880.6722376186372,2903.327762381363,Spending,mentions,0.5015628846190673,,9124.48
2024|3|brian conley,Brian Conley,3,False,,6253.0,1044.625920420236,5208.374079579764,Spending,mentions,0.647460994755946,,2219.4300000000003
2024|3|angelita morillo,Angelita Morillo,3,True,,47477.0,32861.29825089984,14615.70174910016,Spending,mentions,0.647460994755946,,230589.39
2024|3|ahlam k osman,Ahlam K Osman,3,False,,12133.0,21804.555823575487,-9671.555823575487,Spending,mentions,0.647460994755946,,45930.68
2024|3|patrick hilton,Patrick Hilton,3,False,,1462.0,-7133.577546761619,8595.577546761619,Spending,mentions,0.647460994755946,,672.19
2024|3|steve novick,Steve Novick,3,True,,51189.0,43452.79449431122,7736.205505688777,Spending,mentions,0.647460994755946,,1081644.06
2024|3|kezia wanner,Kezia Wanner,3,False,,19435.0,13941.893472564203,5493.106527435797,Spending,mentions,0.647460994755946,,14580.78
2024|3|daniel demelo,Daniel DeMelo,3,False,,11982.0,24472.838399575558,-12490.838399575558,Spending,mentions,0.647460994755946,,67796.95999999999
2024|3|harrison kass,Harrison Kass,3,False,,9223.0,23677.523385629378,-14454.523385629378,Spending,mentions,0.647460994755946,,60367.86
2024|3|luke zak,Luke Zak,3,False,,8581.0,20935.019320148,-12354.019320148,Spending,mentions,0.647460994755946,,40457.04
2024|3|chris flanary,Chris Flanary,3,False,,20728.0,23207.12936582885,-2479.1293658288487,Spending,mentions,0.647460994755946,,56362.95
2024|3|jonathan jon walker,Jonathan (Jon) Walker,3,False,,8736.0,6053.871046915614,2682.128953084386,Spending,mentions,0.647460994755946,,4611.13
2024|3|tiffany koyama lane,Tiffany Koyama Lane,3,True,,45876.0,34865.37704686314,11010.622953136859,Spending,mentions,0.647460994755946,,308922.62
2024|3|kelly janes kj,Kelly Janes (KJ),3,False,,2684.0,10862.016405136099,-8178.016405136099,Spending,mentions,0.647460994755946,,9301.96
2024|3|theo hathaway saner,Theo Hathaway Saner,3,False,,3525.0,12935.340279657416,-9410.340279657416,Spending,mentions,0.647460994755946,,12588.82
2024|3|jesse cornett,Jesse Cornett,3,True,,31392.0,29461.01075272099,1930.9892472790089,Spending,mentions,0.647460994755946,,140392.04
2024|3|philippe knab,Philippe Knab,3,False,,19531.0,7765.283582515134,11765.716417484866,Spending,mentions,0.647460994755946,,5919.57
2024|4|mitch green,Mitch Green,4,True,,33043.0,27403.9114778569,5639.088522143102,Spending,mentions,0.5486779739591896,,197062.06
2024|4|mike dinapoli,Mike DiNapoli,4,False,,3001.0,3543.563668915507,-542.5636689155072,Spending,mentions,0.5486779739591896,,7389.0
2024|4|moses ross,Moses Ross,4,False,,5238.0,23186.08700311678,-17948.08700311678,Spending,mentions,0.5486779739591896,,110289.04
2024|4|michael trimble,Michael Trimble,4,False,,1856.0,-8805.829408652207,10661.829408652207,Spending,mentions,0.5486779739591896,,1349.86
2024|4|stanley penkin,Stanley Penkin,4,False,,9570.0,22854.059451498128,-13284.059451498128,Spending,mentions,0.5486779739591896,,105363.28
2024|4|eli arnold,Eli Arnold,4,True,,34636.0,23073.459989886695,11562.540010113305,Spending,mentions,0.5486779739591896,,108592.89
2024|4|chad lykins,Chad Lykins,4,True,,25423.0,24264.166728026008,1158.833271973992,Spending,mentions,0.5486779739591896,,127926.92
2024|4|eric zimmerman,Eric Zimmerman,4,True,,36731.0,30238.986708848366,6492.013291151634,Spending,mentions,0.5486779739591896,,291095.65
2024|4|bob callahan,Bob Callahan,4,False,,6205.0,11612.469498477098,-5407.469498477098,Spending,mentions,0.5486779739591896,,22430.83
2024|4|sarah silkie,Sarah Silkie,4,True,,32039.0,22619.024273604584,9419.975726395416,Spending,mentions,0.5486779739591896,,102010.01
